news,news_category,views,poster,time,date,news_link
List Of Senatorial Candidates Submitted By APC To INEC,Politics," / , / ,  / , (16091 Views) ",vicdom,9:36pm,,https://www.nairaland.com/7183715/list-senatorial-candidates-submitted-apc
"Unknown Gunmen Kill Several Ebubeagu Operatives In Ihiala (Video,Pics)",Politics," / , / ,  / , (23101 Views) ",AfricanColumbus,7:58pm,,https://www.nairaland.com/7183625/unknown-gunmen-kill-several-ebubeagu
Deji Adeyanju Denies Saying Peter Obi Offered Him Money,Politics," / , / ,  / , (11515 Views) ",NgeneUkwuneee,6:41pm,,https://www.nairaland.com/7183511/deji-adeyanju-denies-saying-peter
Police Arrest Boko Haram Bomb Manufacturer In Taraba (photos),Politics," / , / ,  / , (15869 Views) ",ghettokid1,2:14pm,,https://www.nairaland.com/7183111/police-arrest-boko-haram-bomb
Yobe North: Machina Vows To Seek Legal Redress After Lawan Was Named As Candidat,Politics," / , / ,  / , (5501 Views) ",etokhana,10:57pm,,https://www.nairaland.com/7183778/yobe-north-machina-vows-seek
Super Eagles Most Talented Team I’ve Ever Coached – Peseiro,Sports," / , / ,  / , (10202 Views) ",ghettokid1,11:43am,,https://www.nairaland.com/7182863/super-eagles-most-talented-team
2023: Why Peter Obi Is Gaining Momentum Fast? ,Politics," / , / ,  / , (24664 Views) ",smartidemudia28,5:24pm,,https://www.nairaland.com/7183407/2023-why-peter-obi-gaining
Doyin Okupe: I Am ‘Standing In’ As Vice Presidential Candidate Of Labour Party,Politics," / , / ,  / , (49050 Views) ",blamingthedevil,7:44pm,,https://www.nairaland.com/7183606/doyin-okupe-standing-vice-presidential
Akwa Ibom North West: APC Submits Akpabio's Name To INEC,Politics," / , / ,  / , (18898 Views) ",politicoNG,7:54pm,,https://www.nairaland.com/7183614/akwa-ibom-north-west-apc
Names Of ISWAP Commanders Killed By Soldiers (Full List),Politics," / , / ,  / , (10751 Views) ",Islie,1:04pm,,https://www.nairaland.com/7183009/names-iswap-commanders-killed-soldiers
51 Suspected Cultists Arrested While Marking Anniversary In Delta Hotel,Crime," / , / ,  / , (40711 Views) ",BadNews,9:42am,,https://www.nairaland.com/7182627/51-suspected-cultists-arrested-while
"Police, NDLEA Bicker Over Confessional Video Of Suspects Arrested With Abba Kyar",Politics," / , / ,  / , (8276 Views) ",dre11,1:35pm,,https://www.nairaland.com/7183056/police-ndlea-bicker-over-confessional
See How This Guy Is Creating Awareness For PVC In Owerri(video),Politics," / , / ,  / , (29559 Views) ",Anambra1stSon,4:40pm,,https://www.nairaland.com/7183333/see-how-guy-creating-awareness
Names And Photos Of The Victims Of Owo Massacre,Crime," / , / ,  / , (17031 Views) ",God1000,12:21pm,,https://www.nairaland.com/7182932/names-photos-victims-owo-massacre
 Medical Doctor Replaces Consultation Fee With PVC At His Hospital In Enugu ,Politics," / , / ,  / , (11447 Views) ",EBMedia,1:13pm,,https://www.nairaland.com/7183021/medical-doctor-replaces-consultation-fee
Nigerian Entertainers: Stoking The Flame Of Immorality,Celebrities," / , / ,  / , (9809 Views) ",Hashimyussufamao,12:50pm,,https://www.nairaland.com/7182976/nigerian-entertainers-stoking-flame-immorality
"IPOB Reveals Identities Of Unknown Gunmen, Declares Them Wanted",Politics," / , / ,  / , (47117 Views) ",naptu2,3:16am,,https://www.nairaland.com/7182314/ipob-reveals-identities-unknown-gunmen
Moses Armstrong Arrested For Alleged Rape Of Minor,Crime," / , / ,  / , (40757 Views) ",boman2014,12:08am,,https://www.nairaland.com/7182221/moses-armstrong-arrested-alleged-rape
Amosun Organises A Walk For Tinubu Presidency In Abeokuta,Politics," / , / ,  / , (21663 Views) ",Vixlot,4:35pm,Jun 16,https://www.nairaland.com/7181611/amosun-organises-walk-tinubu-presidency
The Catfish I Bought N3600 in Enugu,Food," / , / ,  / , (62324 Views) ",fineboynl,5:10pm,Jun 16,https://www.nairaland.com/7181670/catfish-bought-n3600-enugu
"Leke Abejide Shows Credit Alert On TV. Receives ₦697,911 Monthly Salary",Politics," / , / ,  / , (47818 Views) ",Sweettalk123,7:00am,,https://www.nairaland.com/7182408/leke-abejide-shows-credit-alert
,Nigerian Mother Joined Her Daughter To Do The “kelly Bahdie Dance” (pictures)," / ,  / , (29383 Views) ",NeroGaming,7:28pm,Jun 16,https://www.nairaland.com/7181878/nigerian-mother-joined-daughter-kelly
10 Reasons Why The APC May Lose 2023 Elections - Opinion,Politics," / , / ,  / , (37255 Views) ",NaijaCowFarm,12:09am,,https://www.nairaland.com/7182224/10-reasons-why-apc-may
"Kwankwanso Says He Won't Be Any Candidate's Vice, Says He Is Sure Of Winning",Politics," / , / ,  / , (24954 Views) ",rockmite,9:33am,,https://www.nairaland.com/7182614/kwankwanso-says-he-wont-candidates
"Police Find Missing Safiyanu Amira, Woman Who Claimed She Was Kidnapped In Abuja",Politics," / , / ,  / , (25599 Views) ",naptu2,11:12am,,https://www.nairaland.com/7182806/police-find-missing-safiyanu-amira
"Peter Obi Loses Supporters As Extremists, Cyberbullies Campaign For Him",Politics," / , / ,  / , (42876 Views) ",JEWELofHELL666,8:52am,,https://www.nairaland.com/7182557/peter-obi-loses-supporters-extremists
Policeman Killed As Unknown Gunmen Attack Checkpoint In Nsukka (Video),Politics," / , / ,  / , (28663 Views) ",AfricanColumbus,11:50am,,https://www.nairaland.com/7182875/policeman-killed-unknown-gunmen-attack
Drone Shots Of Senator Ademola Adeleke Campaign In Ayedire And Olaoluwa Lg(pics),Politics," / , / ,  / , (35342 Views) ",9jahotblog,2:44am,,https://www.nairaland.com/7182305/drone-shots-senator-ademola-adeleke
"Throwback Video Of Mbaka Praising Buhari, Aisha, Their Children In 2015",Politics," / , / ,  / , (17408 Views) ",NwekeUG,6:10am,,https://www.nairaland.com/7182371/throwback-video-mbaka-praising-buhari
FFK: I Will Only Leave APC If Muslim/Muslim Ticket With Muslim VP Is Adopted,Politics," / , / ,  / , (25912 Views) ",maupe,9:24am,,https://www.nairaland.com/7182597/ffk-only-leave-apc-muslim
"Funeral Mass For The Victims Of The St Francis Catholic Church, Owo Holds Today",Religion," / , / ,  / , (41692 Views) ",fergie001,11:01am,,https://www.nairaland.com/7182776/funeral-mass-victims-st-francis
"Wike’s Camp Fumes, Warns PDP As Atiku Picks Okowa Running Mate",Politics," / , / ,  / , (24994 Views) ",kahal29,10:11am,,https://www.nairaland.com/7182670/wikes-camp-fumes-warns-pdp
